Esperimento,Attacco,Tipo Attacco,Parametro,Variante,Punteggio Successo Attacco,IoU Ottimistico,IoU Pessimistico
./robustness_results/SD_Img2Img/MagicBrush_target_opt,jpeg@60@original,jpeg,60,original,2.4867,0.6775,0.4454
./robustness_results/SD_Img2Img/MagicBrush_target_opt,jpeg@30@immunized,jpeg,30,immunized,5.2433,0.4555,0.1980
./robustness_results/SD_Img2Img/MagicBrush_target_opt,jpeg@30@original,jpeg,30,original,2.9967,0.5616,0.3308
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_center@0.9@immunized,crop_center,0.9,immunized,6.2700,0.3669,0.1166
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_center@0.9@original,crop_center,0.9,original,3.3167,0.5427,0.3182
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_center@0.75@immunized,crop_center,0.75,immunized,6.9400,0.3351,0.0931
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_center@0.75@original,crop_center,0.75,original,3.8733,0.4051,0.2404
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_center@0.5@immunized,crop_center,0.5,immunized,6.6267,0.2502,0.0668
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_center@0.5@original,crop_center,0.5,original,3.5800,0.3658,0.1666
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_random@0.9@immunized,crop_random,0.9,immunized,6.4567,0.3626,0.0942
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_random@0.9@original,crop_random,0.9,original,3.2133,0.5249,0.3255
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_random@0.75@immunized,crop_random,0.75,immunized,6.4667,0.2713,0.0869
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_random@0.75@original,crop_random,0.75,original,4.0767,0.4202,0.2367
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_random@0.5@immunized,crop_random,0.5,immunized,6.7900,0.2460,0.0498
./robustness_results/SD_Img2Img/MagicBrush_target_opt,crop_random@0.5@original,crop_random,0.5,original,3.7133,0.3085,0.1609
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@0.5@immunized,blur,0.5,immunized,6.5367,0.3558,0.0811
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@0.5@original,blur,0.5,original,1.5900,0.7748,0.6163
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@1.0@immunized,blur,1.0,immunized,4.0600,0.5157,0.2511
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@1.0@original,blur,1.0,original,2.2567,0.6684,0.4311
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@2.0@immunized,blur,2.0,immunized,3.5967,0.5653,0.2615
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@2.0@original,blur,2.0,original,2.7400,0.5950,0.3066
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@4.0@immunized,blur,4.0,immunized,4.9733,0.5333,0.2123
./robustness_results/SD_Img2Img/MagicBrush_target_opt,blur@4.0@original,blur,4.0,original,4.2067,0.5361,0.2450
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,clean@None@immunized,clean,,immunized,5.4467,0.5467,0.2526
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,clean@None@original,clean,,original,1.3600,0.7943,0.6778
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@85@immunized,jpeg,85,immunized,4.8100,0.5697,0.3233
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@85@original,jpeg,85,original,1.7400,0.7634,0.6273
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@60@immunized,jpeg,60,immunized,4.4800,0.6468,0.3893
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@60@original,jpeg,60,original,2.0100,0.7383,0.5557
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@30@immunized,jpeg,30,immunized,3.8400,0.6121,0.3770
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,jpeg@30@original,jpeg,30,original,1.6667,0.7164,0.5407
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.9@immunized,crop_center,0.9,immunized,5.2733,0.5675,0.2823
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.9@original,crop_center,0.9,original,1.8967,0.6530,0.5137
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.75@immunized,crop_center,0.75,immunized,6.8133,0.4270,0.1963
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.75@original,crop_center,0.75,original,2.3633,0.5189,0.3639
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.5@immunized,crop_center,0.5,immunized,7.0000,0.3147,0.1071
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_center@0.5@original,crop_center,0.5,original,3.0033,0.3472,0.2149
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.9@immunized,crop_random,0.9,immunized,4.9067,0.5039,0.2515
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.9@original,crop_random,0.9,original,1.7033,0.6292,0.4910
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.75@immunized,crop_random,0.75,immunized,6.6800,0.3657,0.1526
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.75@original,crop_random,0.75,original,2.4600,0.4341,0.3036
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.5@immunized,crop_random,0.5,immunized,7.0000,0.2769,0.0975
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,crop_random@0.5@original,crop_random,0.5,original,3.0500,0.2762,0.1797
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@0.5@immunized,blur,0.5,immunized,4.5633,0.5580,0.3237
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@0.5@original,blur,0.5,original,1.3467,0.7605,0.6206
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@1.0@immunized,blur,1.0,immunized,2.8067,0.6672,0.4285
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@1.0@original,blur,1.0,original,1.6000,0.7736,0.6092
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@2.0@immunized,blur,2.0,immunized,3.4200,0.6418,0.4086
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@2.0@original,blur,2.0,original,2.2333,0.7264,0.5273
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@4.0@immunized,blur,4.0,immunized,3.5700,0.5670,0.3244
./robustness_results/SD_Inpainting/MagicBrush_gray_FT,blur@4.0@original,blur,4.0,original,2.9200,0.6217,0.3756
./robustness_results/SD_Inpainting/MagicBrush_photoguard,clean@None@immunized,clean,,immunized,3.7600,0.6593,0.4141
./robustness_results/SD_Inpainting/MagicBrush_photoguard,clean@None@original,clean,,original,1.3600,0.7943,0.6778
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@85@immunized,jpeg,85,immunized,1.9633,0.7014,0.5181
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@85@original,jpeg,85,original,1.7400,0.7634,0.6273
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@60@immunized,jpeg,60,immunized,1.9300,0.7016,0.5245
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@60@original,jpeg,60,original,2.0100,0.7383,0.5557
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@30@immunized,jpeg,30,immunized,1.9933,0.7018,0.4901
./robustness_results/SD_Inpainting/MagicBrush_photoguard,jpeg@30@original,jpeg,30,original,1.6667,0.7164,0.5407
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.9@immunized,crop_center,0.9,immunized,2.4700,0.5954,0.3838
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.9@original,crop_center,0.9,original,1.8967,0.6530,0.5137
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.75@immunized,crop_center,0.75,immunized,3.2300,0.4851,0.2759
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.75@original,crop_center,0.75,original,2.3633,0.5189,0.3639
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.5@immunized,crop_center,0.5,immunized,3.9967,0.3467,0.1726
./robustness_results/SD_Inpainting/MagicBrush_photoguard,crop_center@0.5@original,crop_center,0.5,original,3.0033,0.3472,0.2149
